Date,Total Conversations,Conversations with Response,10+ Minute Waits,Percentage 10+ Min,Conversation IDs (10+ min),Database ID,Timestamp
2025-12-19,231,231,10,4.33%,"215472324220449 (10.55 min), 215472320260719 (18.25 min), 215472321630086 (12.97 min), 215472324475713 (11.4 min), 215472320253858 (11.63 min), 215472324482404 (12.47 min), 215472324456582 (12.57 min), 215472322704421 (11.93 min), 215472325868180 (36.75 min), 215472324237216 (12.4 min)",80,2026-01-01T05:48:26.651556
2025-12-22,6,5,3,60.0%,"215472367665665 (40.83 min), 215472362322577 (44.23 min), 215472362581208 (14.88 min)",81,2026-01-01T05:48:28.784433
2025-12-23,193,193,3,1.55%,"215472374163637 (13.17 min), 215472374943281 (12.8 min), 215472374527642 (16.55 min)",82,2026-01-01T05:48:54.518552
2025-12-24,168,165,0,0.0%,,83,2026-01-01T05:49:24.243883
2025-12-25,49,48,1,2.08%,215472411597041 (10.15 min),84,2026-01-01T05:49:33.803523
2025-12-26,4,4,4,100.0%,"215472420297835 (905.32 min), 215472424426301 (310.47 min), 215472421470940 (693.43 min), 215472422074810 (631.42 min)",85,2026-01-01T05:49:36.055727
2025-12-29,1,1,0,0.0%,,86,2026-01-01T05:49:37.570936
2025-12-30,111,110,1,0.91%,215472461280004 (10.1 min),87,2026-01-01T05:49:56.068487
2025-12-31,118,117,0,0.0%,,88,2026-01-01T05:50:13.942841
