Date,Total Conversations,Conversations with Response,10+ Minute Waits,Percentage 10+ Min,Conversation IDs (10+ min),Database ID,Timestamp
2025-12-17,298,294,44,14.97%,"215472305467854, 215472306147395, 215472302936181, 215472317335324, 215472306250046, 215472317848185, 215472304739570, 215472307829041, 215472308046552, 215472302346218, 215472302842564, 215472302839054, 215472316555858, 215472306228708, 215472305167670, 215472307916156, 215472307919428, 215472318668743, 215472318053253, 215472303955409, 215472317922968, 215472304665299, 215472306239537, 215472306108369, 215472307990695, 215472309780125, 215472307931165, 215472306271092, 215472307917208, 215472308047228, 215472302652454, 215472307997443, 215472307899180, 215472302032110, 215472306054142, 215472305982705, 215472306155755, 215472306137735, 215472305360804, 215472302995219, 215472303290894, 215472303651235, 215472305098267, 215472303887009",12,2025-12-30T20:31:01.938344
2025-12-18,245,244,12,4.92%,"215472331639319, 215472324220449, 215472320260719, 215472321630086, 215472324475713, 215472332481993, 215472320253858, 215472324482404, 215472324456582, 215472322704421, 215472325868180, 215472324237216",13,2025-12-30T20:31:37.097366
2025-12-19,194,190,14,7.37%,"215472339162208, 215472338254491, 215472336278903, 215472336461982, 215472338014243, 215472336710856, 215472338564973, 215472339126230, 215472335454658, 215472339173352, 215472336449936, 215472338011072, 215472334693563, 215472336724832",14,2025-12-30T20:32:05.548411
2025-12-22,208,208,7,3.37%,"215472388792889, 215472370805800, 215472388059483, 215472386906469, 215472374163637, 215472374943281, 215472374527642",15,2025-12-30T20:32:35.835472
2025-12-23,174,170,1,0.59%,215472404818062,16,2025-12-30T20:32:59.330721
2025-12-24,57,54,4,7.41%,"215472411597041, 215472405637218, 215472405633415, 215472405653130",17,2025-12-30T20:33:07.818048
2025-12-25,6,6,5,83.33%,"215472420297835, 215472419664951, 215472424426301, 215472421470940, 215472422074810",18,2025-12-30T20:33:09.979961
2025-12-26,42,41,0,0.0%,,19,2025-12-30T20:33:17.672717
2025-12-29,119,117,6,5.13%,"215472472931525, 215472455767679, 215472473568553, 215472473642946, 215472461280004, 215472455710242",4,2025-12-30T20:33:33.738693
2025-12-30,104,102,2,1.96%,"215472474307408, 215472474481549",10,2025-12-30T20:33:46.086835
