Date,Total Conversations,Conversations with Response,10+ Minute Waits,Percentage 10+ Min,Conversation IDs (10+ min),Database ID,Timestamp
2025-12-17,275,271,31,11.44%,"215472305467854 (13.92 min), 215472306147395 (10.87 min), 215472306250046 (17.63 min), 215472304739570 (15.13 min), 215472307829041 (10.02 min), 215472308046552 (12.45 min), 215472306228708 (14.35 min), 215472305167670 (12.3 min), 215472307916156 (10.23 min), 215472307919428 (16.15 min), 215472303955409 (17.23 min), 215472304665299 (12.38 min), 215472306239537 (19.23 min), 215472306108369 (11.42 min), 215472307990695 (14.23 min), 215472309780125 (14.18 min), 215472307931165 (18.95 min), 215472306271092 (15.43 min), 215472307917208 (11.07 min), 215472308047228 (13.62 min), 215472307997443 (15.35 min), 215472307899180 (11.68 min), 215472306054142 (10.82 min), 215472305982705 (11.48 min), 215472306155755 (14.87 min), 215472306137735 (10.02 min), 215472305360804 (29.82 min), 215472303290894 (11.0 min), 215472303651235 (18.13 min), 215472305098267 (11.08 min), 215472303887009 (11.63 min)",12,2025-12-31T07:11:27.418805
2025-12-18,231,231,10,4.33%,"215472324220449 (10.55 min), 215472320260719 (18.25 min), 215472321630086 (12.97 min), 215472324475713 (11.4 min), 215472320253858 (11.63 min), 215472324482404 (12.47 min), 215472324456582 (12.57 min), 215472322704421 (11.93 min), 215472325868180 (36.75 min), 215472324237216 (12.4 min)",13,2025-12-31T07:11:54.416688
2025-12-19,190,186,14,7.53%,"215472339162208 (12.82 min), 215472338254491 (12.08 min), 215472336278903 (139.73 min), 215472336461982 (16.35 min), 215472338014243 (16.9 min), 215472336710856 (10.83 min), 215472338564973 (12.33 min), 215472339126230 (12.45 min), 215472335454658 (12.37 min), 215472339173352 (11.38 min), 215472336449936 (21.93 min), 215472338011072 (14.02 min), 215472334693563 (11.58 min), 215472336724832 (10.65 min)",14,2025-12-31T07:12:15.657884
2025-12-22,193,193,3,1.55%,"215472374163637 (13.17 min), 215472374943281 (12.8 min), 215472374527642 (16.55 min)",15,2025-12-31T07:12:42.119749
2025-12-23,168,165,0,0.0%,,16,2025-12-31T07:13:01.228280
2025-12-24,49,48,1,2.08%,215472411597041 (10.15 min),17,2025-12-31T07:13:07.743563
2025-12-25,4,4,4,100.0%,"215472420297835 (905.32 min), 215472424426301 (310.47 min), 215472421470940 (693.43 min), 215472422074810 (631.42 min)",18,2025-12-31T07:13:09.566694
2025-12-26,40,39,0,0.0%,,19,2025-12-31T07:13:15.015583
2025-12-29,111,110,1,0.91%,215472461280004 (10.1 min),4,2025-12-31T07:13:28.034834
2025-12-30,118,117,0,0.0%,,10,2025-12-31T07:13:41.239644
